,n,noise_lvl,data_type,model,TRE,TRE_STD,TESTE,TESTE_STD,E_DIFF,model_param
235,10,0.0,moons,logistic,0.7,0.15,0.3,0.39999999999999997,0.39999999999999997,0.01
236,10,0.0,moons,logistic,0.725,0.1457737973711325,0.3,0.39999999999999997,0.425,0.1
237,10,0.0,moons,logistic,0.8,0.1,0.5,0.31622776601683794,0.30000000000000004,1.0
238,10,0.0,moons,logistic,0.8,0.1,0.6,0.37416573867739417,0.20000000000000007,10.0
239,10,0.0,moons,logistic,0.8,0.1,0.6,0.37416573867739417,0.20000000000000007,100.0
240,10,0.0,moons,logistic,0.8,0.1,0.7,0.4,0.10000000000000009,1000.0
241,10,0.0,moons,svm,0.675,0.1695582495781317,0.3,0.39999999999999997,0.37500000000000006,0.001
242,10,0.0,moons,svm,0.675,0.1695582495781317,0.3,0.39999999999999997,0.37500000000000006,0.005
243,10,0.0,moons,svm,0.675,0.1695582495781317,0.3,0.39999999999999997,0.37500000000000006,0.01
244,10,0.0,moons,svm,0.7,0.15,0.3,0.39999999999999997,0.39999999999999997,0.05
245,10,0.0,moons,svm,0.7,0.15,0.3,0.39999999999999997,0.39999999999999997,0.1
246,10,0.0,moons,svm,0.775,0.1457737973711325,0.3,0.39999999999999997,0.47500000000000003,0.5
247,10,0.0,moons,svm,0.875,0.07905694150420949,0.3,0.39999999999999997,0.575,1.0
248,10,0.0,moons,svm,1.0,0.0,0.2,0.24494897427831783,0.8,5.0
249,10,0.0,moons,svm,1.0,0.0,0.2,0.24494897427831783,0.8,10.0
250,10,0.0,moons,svm,1.0,0.0,0.0,0.0,1.0,50.0
251,10,0.0,moons,svm,1.0,0.0,0.0,0.0,1.0,1000.0
252,10,0.1,circles,logistic,0.65,0.05,0.0,0.0,0.65,0.001
253,10,0.1,circles,logistic,0.65,0.05,0.0,0.0,0.65,0.01
254,10,0.1,circles,logistic,0.65,0.05,0.0,0.0,0.65,0.1
255,10,0.1,circles,logistic,0.625,0.07905694150420949,0.0,0.0,0.625,1.0
256,10,0.1,circles,logistic,0.625,0.07905694150420949,0.0,0.0,0.625,10.0
