,n,noise_lvl,data_type,model,TRE,TRE_STD,TESTE,TRE_VAR,TESTE_STD,TESTE_VAR,E_DIFF,model_param
142,5,0.3,moons,svm,0.5,0.0,0.1,,0.447213595499958,,0.4,50.0
143,5,0.3,moons,svm,0.5,0.0,0.2,,0.5477225575051661,,0.3,1000.0
144,5,0.4,circles,logistic,0.4,0.11180339887498948,0.1,0.012499999999999999,0.447213595499958,0.20000000000000004,0.30000000000000004,0.001
145,5,0.4,circles,logistic,0.375,0.1767766952966369,0.1,0.03125,0.447213595499958,0.20000000000000004,0.275,0.01
146,5,0.4,circles,logistic,0.375,0.1767766952966369,0.1,0.03125,0.447213595499958,0.20000000000000004,0.275,0.1
147,5,0.4,circles,logistic,0.375,0.1767766952966369,0.1,0.03125,0.447213595499958,0.20000000000000004,0.275,1.0
148,5,0.4,circles,logistic,0.45,0.13693063937629152,0.1,0.01875,0.447213595499958,0.20000000000000004,0.35,10.0
149,5,0.4,circles,logistic,0.45,0.13693063937629152,0.2,0.01875,0.5477225575051661,0.3,0.25,100.0
150,5,0.4,circles,logistic,0.45,0.13693063937629152,0.2,0.01875,0.5477225575051661,0.3,0.25,1000.0
151,5,0.4,circles,svm,0.375,0.0,0.1,,0.447213595499958,,0.275,0.001
152,5,0.4,circles,svm,0.375,0.0,0.1,,0.447213595499958,,0.275,0.005
153,5,0.4,circles,svm,0.375,0.0,0.1,,0.447213595499958,,0.275,0.01
154,5,0.4,circles,svm,0.375,0.0,0.1,,0.447213595499958,,0.275,0.05
155,5,0.4,circles,svm,0.375,0.0,0.1,,0.447213595499958,,0.275,0.1
156,5,0.4,circles,svm,0.4,0.11180339887498948,0.1,,0.447213595499958,,0.30000000000000004,0.5
157,5,0.4,circles,svm,0.4,0.11180339887498948,0.1,,0.447213595499958,,0.30000000000000004,1.0
158,5,0.4,circles,svm,0.475,0.11180339887498948,0.1,,0.447213595499958,,0.375,5.0
159,5,0.4,circles,svm,0.5,0.0,0.1,,0.447213595499958,,0.4,10.0
160,5,0.4,circles,svm,0.5,0.0,0.1,,0.447213595499958,,0.4,50.0
161,5,0.4,circles,svm,0.5,0.0,0.1,,0.447213595499958,,0.4,1000.0
162,5,0.4,moons,logistic,0.35,0.11180339887498948,0.2,0.012499999999999999,0.5477225575051661,0.3,0.14999999999999997,0.001
163,5,0.4,moons,logistic,0.35,0.2091650066335189,0.2,0.04375,0.5477225575051661,0.3,0.14999999999999997,0.01
164,5,0.4,moons,logistic,0.35,0.2091650066335189,0.2,0.04375,0.5477225575051661,0.3,0.14999999999999997,0.1
165,5,0.4,moons,logistic,0.4,0.2091650066335189,0.2,0.04375,0.5477225575051661,0.3,0.2,1.0
166,5,0.4,moons,logistic,0.4,0.2091650066335189,0.2,0.04375,0.5477225575051661,0.3,0.2,10.0
167,5,0.4,moons,logistic,0.475,0.11180339887498948,0.2,0.012499999999999999,0.5477225575051661,0.3,0.27499999999999997,100.0
168,5,0.4,moons,logistic,0.5,0.0,0.2,0.0,0.5477225575051661,0.3,0.3,1000.0
169,5,0.4,moons,svm,0.35,0.11180339887498948,0.2,,0.5477225575051661,,0.14999999999999997,0.001
170,5,0.4,moons,svm,0.35,0.11180339887498948,0.2,,0.5477225575051661,,0.14999999999999997,0.005
171,5,0.4,moons,svm,0.35,0.11180339887498948,0.2,,0.5477225575051661,,0.14999999999999997,0.01
172,5,0.4,moons,svm,0.375,0.1767766952966369,0.2,,0.5477225575051661,,0.175,0.05
173,5,0.4,moons,svm,0.4,0.11180339887498948,0.2,,0.5477225575051661,,0.2,0.1
174,5,0.4,moons,svm,0.4,0.11180339887498948,0.1,,0.447213595499958,,0.30000000000000004,0.5
175,5,0.4,moons,svm,0.45,0.13693063937629152,0.1,,0.447213595499958,,0.35,1.0
